teste,lroem ipusm,"15,99"

7896227690017,creme para assaduras cottonbaby 45g snoop,"12,99"
7896018750807,shampoo infantil huggies kids 360ml cachinho poder,"13,99"
7891010030094,shampoo johnsons babe 200ml ph balanceada,"17,99"
7896331100372,doce de leite aviação pote 400g tradicional,"13,99"
7891110071935,doce de leite mu-mu pote 350g chocolate,"11,99"
7896045114313,canjica dona clara 400g branca mugunza ,"3,99"
7892300002661,azeite de oliva sinhá 250ml belo porto ,"20,99"
7896045110667,bebida lactea 3 corações 250ml power whey chocolate,"6,99"
7896292303614,molho salada predilecta 235ml parmesan ,"5,99"
7898080643261,bebida lactea italac 200ml light chocolate ,"1,69"
7896049502604,desodorante herbissimo 150g mentos fruit ,"8,99"
7891010253707,sabonete liquido johnsons 400ml limpeza super,"36,99"
7891010035976,sabonete johnsons 80g mel e vitamina e ,"5,99"
